,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10,Santa Tell Me,Ariana Grande,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,audio_features,0lizgQ7Qw35od7CYaoMBZb,spotify:track:0lizgQ7Qw35od7CYaoMBZb,https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb,https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb,204093,4
11,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",0.221,0.106,0,-17.06,1,0.0371,0.903,2.27e-05,0.164,0.143,79.415,audio_features,7uhWhGcR3kn9czLKlbO46q,spotify:track:7uhWhGcR3kn9czLKlbO46q,https://api.spotify.com/v1/tracks/7uhWhGcR3kn9czLKlbO46q,https://api.spotify.com/v1/audio-analysis/7uhWhGcR3kn9czLKlbO46q,206667,4
12,Underneath The Tree,Kelly Clarkson,0.509,0.812,8,-5.439,1,0.0537,0.00128,1.99e-05,0.214,0.689,159.878,audio_features,3YZE5qDV7u1ZD1gZc47ZeR,spotify:track:3YZE5qDV7u1ZD1gZc47ZeR,https://api.spotify.com/v1/tracks/3YZE5qDV7u1ZD1gZc47ZeR,https://api.spotify.com/v1/audio-analysis/3YZE5qDV7u1ZD1gZc47ZeR,229640,4
13,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,0.578,0.182,8,-10.424,1,0.0445,0.825,5e-06,0.144,0.477,127.374,audio_features,72Z28IsvEVLjSWdUKEQgZ0,spotify:track:72Z28IsvEVLjSWdUKEQgZ0,https://api.spotify.com/v1/tracks/72Z28IsvEVLjSWdUKEQgZ0,https://api.spotify.com/v1/audio-analysis/72Z28IsvEVLjSWdUKEQgZ0,158533,4
14,Christmas (Baby Please Come Home),Darlene Love,0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,audio_features,46pF1zFimM582ss1PrMy68,spotify:track:46pF1zFimM582ss1PrMy68,https://api.spotify.com/v1/tracks/46pF1zFimM582ss1PrMy68,https://api.spotify.com/v1/audio-analysis/46pF1zFimM582ss1PrMy68,166453,4
15,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,0.706,0.383,8,-11.44,1,0.0342,0.758,0.0,0.0608,0.87,86.997,audio_features,4KV9bM7a1KDc7b7OakFZic,spotify:track:4KV9bM7a1KDc7b7OakFZic,https://api.spotify.com/v1/tracks/4KV9bM7a1KDc7b7OakFZic,https://api.spotify.com/v1/audio-analysis/4KV9bM7a1KDc7b7OakFZic,122160,4
16,Deck The Halls,Nat King Cole,0.684,0.437,9,-10.522,1,0.0491,0.742,1.58e-05,0.224,0.964,107.607,audio_features,0rHToGels2lt8Y0mCYoF90,spotify:track:0rHToGels2lt8Y0mCYoF90,https://api.spotify.com/v1/tracks/0rHToGels2lt8Y0mCYoF90,https://api.spotify.com/v1/audio-analysis/0rHToGels2lt8Y0mCYoF90,68760,4
17,Blue Christmas,Elvis Presley,0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,audio_features,3QiAAp20rPC3dcAtKtMaqQ,spotify:track:3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/tracks/3QiAAp20rPC3dcAtKtMaqQ,https://api.spotify.com/v1/audio-analysis/3QiAAp20rPC3dcAtKtMaqQ,129173,4
18,Cruel Summer,Taylor Swift,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
19,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,0.704,0.103,5,-15.056,0,0.0607,0.897,0.0,0.192,0.468,84.475,audio_features,1vZKP9XURuqMp1SpXGnoyb,spotify:track:1vZKP9XURuqMp1SpXGnoyb,https://api.spotify.com/v1/tracks/1vZKP9XURuqMp1SpXGnoyb,https://api.spotify.com/v1/audio-analysis/1vZKP9XURuqMp1SpXGnoyb,206507,4
20,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,0.575,0.236,2,-16.982,1,0.0422,0.968,0.0178,0.105,0.829,79.576,audio_features,7n7VsX3sv66znBwA8b5uhp,spotify:track:7n7VsX3sv66znBwA8b5uhp,https://api.spotify.com/v1/tracks/7n7VsX3sv66znBwA8b5uhp,https://api.spotify.com/v1/audio-analysis/7n7VsX3sv66znBwA8b5uhp,115827,4
